name	x	y	z	type
H1	7.3333	-20	3.3333	D
H2	10.8	-19.6	4.8	D
H3	14	-19.3333	5.3333	D
H4	18	-20	5	D
H5	20.8571	-21.1429	4.8571	D
H6	25.2	-20.8	3.6	D
H7	28.6667	-19	3	D
H8	32.5	-19	3.5	D
H9	35.2	-17.2	4.4	D
H10	38	-16	3	D
H11	42	-16	5	D
H12	44.6667	-15.3333	4	D
H13	51	-16.5	2.5	D
H14	55	-17.5	2.5	D
H15	58	-16	3	D
H16	60	-16	3	D
H17	64.6667	-16	0.66667	D
M1	3	2.5	58.5	D
M2	5.2	2.8	61.2	D
M3	8	3	63	D
M4	11	4	65	D
M5	15	5	66	D
M6	19.5	5.5	65	D
M7	23.3333	4	65.3333	D
M8	26	3.3333	65.3333	D
M9	29	3	66	D
M10	32	3	68	D
M11	35	3	69	D
M12	40	2	70	D
P1	47.2	-28.4	28	D
P2	49	-27	33	D
P3	50.3333	-24.6667	36	D
P4	50.6667	-23.6667	38.3333	D
P5	52.8	-22.8	41.6	D
P6	52.8	-20.8	45.6	D
P7	54.8	-20.4	48.8	D
P8	55.3333	-20	52.6667	D
P9	58	-20	56	D
R1	44.2222	-15.1111	18.8889	D
R2	49.2	-15.2	20.4	D
R3	52.8	-15.2	21.2	D
R4	56.6667	-15.3333	22	D
R5	59	-13.5	22.5	D
R6	61.5	-12.5	23.5	D
R7	64	-12	25	D
S1	24	-28	19	D
S2	26	-28	20	D
S3	30.6667	-27.3333	20	D
S4	33.3333	-26.6667	20	D
S5	35.3333	-24.6667	22	D
S6	39.2	-24.8	23.6	D
S7	42.5	-24	24	D
S8	45	-24	27	D
S9	47	-23	28	D
S10	49.1429	-20.5714	29.4286	D
S11	53.2	-18.4	32	D
S12	57.6	-18	33.6	D
S13	61	-16	35	D
S14	65.3333	-16	36.6667	D
V1	35	-31	18	D
V2	34.4	-31.2	20	D
V3	32.2857	-32	22.8571	D
V4	32.7273	-33.2727	27.4545	D
V5	33.25	-33.75	33.5	D
V6	33.1429	-32.2857	38	D
V7	32.6667	-30	44	D
V8	31.5	-29.5	48.5	D
V9	32	-32	53	D
V10	31.5	-33	56.5	D
V11	29.1429	-32.2857	60.2857	D
V12	26.2857	-31.4286	64	D
V13	25.1429	-32.8571	69.1429	D
V14	23.3333	-33	73.3333	D
V15	21.3333	-33.3333	77	D
V16	21	-33	80	D
V17	21.3333	-35.6667	83.3333	D
V18	21	-37	86	D
W1	39.5556	-36.6667	24.4444	D
W2	39.6667	-35.3333	28.6667	D
W3	40.2222	-34	31.7778	D
W4	40.75	-33.25	36	D
W5	41.2	-30.4	39.2	D
W6	40.6667	-29.3333	43	D
W7	40	-27.1429	47.1429	D
W8	40.5	-27	51.5	D
W9	41.3333	-27	57	D
W10	40.8	-26.8	59.6	D
W11	39	-26.6667	63.3333	D
W12	39	-26.6667	66.3333	D
W13	39	-26.6667	69.3333	D
Y1	39.1429	-47.4286	26.5714	D
Y2	43.4667	-48.8	32.9333	D
Y3	42.1818	-50.1818	40	D
Y4	38.8	-52	45.6	D
Y5	36.8	-54	48.4	D
Y6	36	-56	49	D
Y7	35.3333	-57.3333	51.6667	D
Y8	35	-58	54	D
Y9	34	-60	57	D
Y10	35	-60	60	D
Y11	33.2	-61.6	63.2	D
Y12	33.2	-61.6	67.2	D
Z1	36.8	-4.8	-8.4	D
Z2	36.5	-6.5	-4.5	D
Z3	37	-8	-2	D
Z4	34.8	-9.2	2.4	D
Z5	35.3333	-10	5.3333	D
Z6	34	-12	9	D
Z7	33.3333	-12.6667	12	D
Z8	33	-13	16	D
Z9	33.2	-14.4	18.8	D
Z10	32	-16	22	D
Z11	32.8	-17.6	25.2	D
Z12	33	-19	28	D
Z13	31.2	-20.4	30.8	D
Z14	32	-22	33	D
Z15	31.5	-22.5	37	D
Z16	30.6667	-23.3333	41	D
Z17	31.3333	-23.3333	45.3333	D
Z18	33	-26	49	D